bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,14,0.138771,0.000589,0.155878,0.295238
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,15,0.13853,0.000611,0.155338,0.294479
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,16,0.138731,0.000501,0.153056,0.292288
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,17,0.141637,0.000631,0.159537,0.301805
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,18,0.145862,0.000566,0.173471,0.319899
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,19,0.148922,0.000675,0.170175,0.319772
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,20,0.147506,0.000581,0.172079,0.320166
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,21,0.150683,0.000591,0.172607,0.323881
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,22,0.15044,0.000549,0.172208,0.323197
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,23,0.150546,0.000528,0.16004,0.311114
Small (<100 lines),ALipckin__task-flow-backend__auth_docker-compose.yml.yml,45,984,4648,24,0.142651,0.000546,0.15915,0.302347
