file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
AndresHardware__Vaultwarden__docker-compose.yml.txt.yml,1055,0.0049,True,True,True,35,34,False,2,0.057143,2,0.057143,not requested,
AnjaliSamrat__Real-states-risks-scorer__docker-compose.yml.yml,1365,0.0045,True,True,True,58,54,False,7,0.12069,7,0.12069,not requested,
Aram8956__LMSPlatform__docker-compose.yml.yml,1106,0.0043,True,True,True,58,53,False,6,0.103448,6,0.103448,not requested,
ArmandoHdzBta__api-spring__docker-compose.yml.yml,211,0.0035,True,True,True,11,11,False,1,0.090909,1,0.090909,not requested,
ArthurLopes191__Projetos-Ulbra__2022-1_PW_Aula_11_docker-lamp-pw-master_docker-compose.yml.yml,842,0.0039,True,True,True,35,32,False,32,0.914286,32,0.914286,not requested,
ArturB__RSO__docker-compose.yml.bak.yml,1442,0.0042,True,True,True,43,43,False,22,0.511628,22,0.511628,not requested,
Aryan16032004__Realtime-Chat-application__docker-compose.yml.yml,683,0.0035,True,True,True,36,33,False,3,0.083333,3,0.083333,not requested,
AryanMarwah7781__FitPub__docker-compose.yml.yml,2193,0.0056,True,True,True,95,82,False,16,0.168421,16,0.168421,not requested,
AshwinSaklecha__LedgerPay__docker-compose.yml.yml,585,0.0043,True,True,True,29,27,False,3,0.103448,3,0.103448,not requested,
BD2KGenomics__dcc-ops__boardwalk_docker-compose.yml.yml,4899,0.0081,True,True,True,176,171,False,11,0.0625,11,0.0625,not requested,
Baptiste4321__biblioteque-node_express__backend_docker-compose.yml.yml,1287,0.0044,True,True,True,58,35,False,26,0.448276,26,0.448276,not requested,
Bara2222__fittrack__docker-compose.yml.yml,1319,0.0058,True,True,True,54,51,False,3,0.055556,3,0.055556,not requested,
BarrySong97__next-blog-backend__docker-compose.yml.yml,281,0.0045,True,True,True,16,16,False,2,0.125,2,0.125,not requested,
BenHampton__aws-ecs-terraform-demo__docker-compose.yml.yml,844,0.0046,True,True,True,30,26,False,6,0.2,6,0.2,not requested,
Bensmina-Anass__streaming-sales-analytics__clickhouse_docker-compose.yml.yml,676,0.0054,True,True,True,31,29,False,6,0.193548,6,0.193548,not requested,
BinhSilver__sentry_Suport_learning_Japanese-Public__docker-compose.yml.yml,2089,0.0071,True,True,True,71,67,False,6,0.084507,6,0.084507,not requested,
BlackAntik__service-oriented-architecture-__kafka_clickhouse_postgresql_docker-compose.yml.yml,7147,0.0127,True,True,True,261,241,False,23,0.088123,23,0.088123,not requested,
Bleenq-Technology__ai-homelab__docker_ai_compose.ai.yml.yml,27736,0.0191,True,True,True,551,338,False,226,0.410163,226,0.410163,not requested,
Bohdan778__quizbot__docker-compose.yml.yml,341,0.0052,True,True,True,21,19,False,2,0.095238,2,0.095238,not requested,
Bola-j__SolKey__docker-compose.yml.yml,134,0.0044,True,True,True,7,7,True,0,0.0,0,0.0,not requested,
